time,x,y,z
0.448,-0.29998,-1.04185,0.102295
0.449,-0.544835,-1.28318,-0.000670921
0.45,0.0769863,0.119587,0.0852458
0.451,0.09671,-0.013944,0.223114
0.452,0.0531303,-0.277347,0.381427
0.453,-0.548016,0.652363,0.184475
0.454,0.0863716,0.106098,0.093845
0.455,-0.73338,-0.15713,-0.341322
0.456,-0.111336,0.0836777,-0.0484764
0.457,-0.149597,-0.159652,0.21883
0.458,-0.167695,0.797846,0.346936
0.459,-0.458924,0.324772,-0.0406453
0.46,-0.243576,0.224065,-0.044273
0.461,-0.0927357,-0.00676757,-0.0615355
0.462,-0.110794,0.36433,0.0687034
0.463,-0.569453,-1.11755,-0.183348
0.464,-0.138817,-0.415168,-0.10042
0.465,-0.325172,0.0243721,-0.155393
0.466,-0.0922035,0.591154,0.211068
0.467,-0.131099,0.10393,-0.0512872
0.468,-0.111243,0.448367,0.116335
0.469,-0.82481,-0.598376,-0.476303
0.47,0.100491,-0.163545,0.265297
0.471,-0.576149,-1.39998,0.102186
0.472,0.0256898,0.494181,0.195152
0.473,-0.0859333,0.300119,0.0461765
0.474,-0.0470688,0.545208,0.193566
0.475,0.0927854,0.287601,0.154591
0.476,-0.100514,0.503151,0.150862
0.477,0.0676758,0.119573,0.168627
0.478,0.116576,-0.050441,0.205525
0.479,-0.0231846,-0.153101,-0.0203234
0.48,-0.781189,-0.642931,-0.461808
0.481,-0.566693,-0.365411,-0.348205
0.482,-0.00951036,0.067253,0.104131
0.483,0.053561,0.231579,0.092846
0.484,-0.0490738,-0.014548,0.0980366
0.485,-0.016461,-0.464593,0.0662392
0.486,-0.232818,0.867724,0.396613
0.487,-0.100596,-0.497773,-0.0353989
0.488,-0.00989478,-0.214836,-0.00205226
0.489,-0.125422,-0.19913,-0.107135
0.49,0.069364,0.0125093,0.0644762
0.491,0.0589879,-0.369951,0.163706
0.492,-0.227801,0.838268,0.371874
0.493,-0.113579,0.588108,0.203044
0.494,0.0985755,0.258465,0.154068
0.495,0.098765,-0.0238502,0.10393
0.496,-0.578802,-0.304487,-0.340876
0.497,-0.0533815,-0.570906,0.0748552
0.498,-0.381689,-1.22728,0.206004
0.499,-0.25462,0.567738,0.157196
0.5,0.0275404,-0.197149,0.0320927
0.501,-0.0815267,-0.301814,-0.0684786
0.502,-0.296743,0.850711,0.374906
0.503,0.0744435,0.237074,0.111187
0.504,-0.113686,-0.12359,0.0769208
0.505,0.100565,-0.187146,0.266847
0.506,-0.667877,-1.55885,0.190772
0.507,-0.317297,-0.223021,-0.218031
0.508,-0.0860769,-0.0773729,0.0925375
0.509,-0.525866,1.03411,0.535685
0.51,0.0283121,-0.55187,0.369272
0.511,0.0334483,-0.137719,0.0269526
0.512,-0.449846,-0.583721,-0.299407
0.513,-0.620548,1.0365,0.537738
0.514,-0.162495,-0.803836,0.084589
0.515,-0.00751546,-0.160739,-0.0132617
0.516,-0.465965,0.293737,-0.0608136
0.517,-0.318692,0.689089,0.237913
0.518,-0.236187,0.0766872,-0.104169
0.519,-0.277624,0.701504,0.25333
0.52,-0.219285,0.137026,-0.0746795
0.521,-0.143964,-0.924464,0.307384
0.522,-0.0631819,0.263861,0.0440105
0.523,-0.00901687,-0.293696,0.0204659
0.524,0.0221844,0.491271,0.193685
0.525,0.0753056,0.348452,0.162843
0.526,-0.0915886,0.415665,0.104881
0.527,-0.133401,-0.151972,0.0787519
0.528,0.0612276,0.0176975,0.213028
0.529,0.0119112,-0.503785,0.504929
0.53,-0.598755,-0.848663,-0.340587
0.531,-0.151243,0.0225264,-0.0855026
0.532,0.118269,0.109611,0.154167
0.533,-0.056279,0.00298787,-0.0359835
0.534,-0.314232,-0.235368,-0.218447
0.535,0.0740484,0.354222,0.163541
0.536,-0.289747,0.616333,0.186358
0.537,0.0810638,-0.164667,0.299513
0.538,-0.25403,0.100933,-0.101447
0.539,-0.453925,1.02125,0.52424
0.54,-0.00904358,-0.332672,0.0357599
0.541,-0.209788,-0.391653,-0.161395
0.542,0.0575366,-0.230955,0.0880917
0.543,-0.251935,0.252639,-0.0328621
0.544,-0.263622,-1.17789,0.994266
0.545,0.00663959,0.384558,0.126454
0.546,-0.0343622,-0.16692,0.352407
0.547,-0.262024,-1.21386,0.654388
0.548,-0.682805,0.99224,0.492876
0.549,0.0567264,-0.238278,0.0899749
0.55,-0.0810895,-0.529494,0.00462697
0.551,0.0415466,-0.109858,0.0338075
0.552,-0.702073,0.858158,0.360702
0.553,0.106211,-0.00657955,0.116219
0.554,0.0705171,-0.125554,0.0758694
0.555,-0.88986,-0.503724,-0.485193
0.556,0.0842523,-0.216431,0.126243
0.557,-0.00386481,0.214724,0.0500931
0.558,-0.538178,0.466997,0.0423872
0.559,-0.094081,0.681481,0.272103
0.56,-0.0278796,0.595849,0.23281
0.561,-0.264683,0.508699,0.11476
0.562,0.0602992,-0.198087,0.0732273
0.563,-0.00798077,0.470277,0.164173
0.564,0.0560761,0.253056,0.101964
0.565,-0.0410817,-0.00720663,0.115679
0.566,-0.137377,0.309475,0.0316991
0.567,-0.0381553,-0.0598363,-0.0312279
0.568,-0.12901,-0.0181244,-0.0845043
0.569,-0.0766186,-0.165036,0.338223
0.57,-0.0223522,0.48522,0.166709
0.571,-0.12967,-0.277177,-0.110152
0.572,0.111978,0.122998,0.169717
0.573,0.0859437,-0.17078,0.294869
0.574,-0.107627,0.327123,0.0509136
0.575,0.119306,0.00709256,0.186212
0.576,-0.0441476,-0.0551453,-0.0373044
0.577,-0.765139,0.676081,0.192307
0.578,-0.207878,0.496144,0.118546
0.579,0.0495481,-0.104898,0.290678
0.58,-0.365901,0.861977,0.37871
0.581,-0.105969,0.207908,-0.00199607
0.582,-0.0408625,0.385174,0.111544
0.583,-0.15136,-0.170594,0.263668
0.584,0.0439374,0.145224,0.0608892
0.585,-0.226595,-1.11789,0.911933
0.586,0.0728195,-0.255552,0.119273
0.587,0.0455727,-0.438811,0.191807
0.588,-0.340648,-1.24014,1.25005
0.589,-0.0720064,0.595541,0.219949
0.59,-0.7838,-0.683821,-0.463449
0.591,-0.43675,-1.17663,0.0353087
0.592,-0.0289838,-0.103054,-0.0273764
